,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
197,Erick,Juventude,2930,16,5,33.65,172,60.61,22.92,1.48,10,0.41,2,0.06,61,55.74,26.23,48.48,50.0,47.06,2.68,41.18,28.47,81.26,66.94,92.61,81.66,83.48,75.0,62.5,77.05,50.0,66.67,80.82
198,Denílson,Avaí,1335,4,1,34.88,188,51.72,36.04,2.49,4,0.22,0,0.0,23,34.78,17.391,25.0,0.0,50.0,2.29,41.18,32.68,78.29,60.66,90.79,82.76,79.77,81.25,50.0,52.38,42.86,50.0,68.0
199,Philippe Costa,Goiás,756,4,0,38.37,188,50.0,42.59,1.19,3,0.26,1,0.13,15,33.33,20.0,0.0,0.0,0.0,1.46,36.36,31.58,80.2,74.07,88.46,85.19,81.91,100.0,25.0,81.82,72.73,0.0,75.0
200,Bruno Costa,CRB,1434,4,3,45.73,182,55.17,30.77,2.26,4,0.22,1,0.06,22,40.91,18.182,37.23,31.03,40.0,8.79,50.71,44.6,63.12,62.75,89.47,62.5,77.49,44.44,50.0,55.0,49.37,0.0,85.71
201,Evandro,ABC,1689,1,4,41.39,174,47.92,42.15,2.34,1,0.13,0,0.0,28,46.43,3.571,11.76,18.18,0.0,5.28,51.52,46.32,69.08,53.47,89.89,64.2,74.6,27.78,33.33,43.59,48.57,30.0,71.43
202,Itaitinga,Sion,1246,2,2,44.75,184,64.29,55.56,2.74,2,0.24,2,0.14,24,29.17,8.333,22.73,16.67,30.0,5.42,54.67,38.5,76.04,50.77,94.67,69.23,81.18,53.33,27.27,53.85,55.56,27.27,71.43
203,França,Lokomotiv Sofia 1929,3228,6,0,37.42,172,55.61,17.82,2.32,5,0.15,2,0.06,53,39.62,9.434,31.82,38.46,25.64,5.59,56.41,37.94,64.52,63.16,85.14,64.34,71.18,50.0,100.0,83.33,50.79,50.0,69.86
204,Rodrigo Henrique,Meizhou Hakka,3195,5,7,45.7,178,57.89,27.06,1.8,5,0.17,0,0.0,54,38.89,9.259,28.43,28.89,28.57,8.93,61.2,46.84,76.31,68.55,90.73,75.56,81.77,62.71,33.33,65.35,54.13,35.48,86.5
205,Talles,Rukh Lviv,2288,4,3,36.62,172,55.26,32.43,2.2,4,0.21,0,0.0,55,34.55,7.273,28.57,40.0,20.0,2.52,50.0,27.36,82.86,74.78,92.5,89.22,87.45,53.85,50.0,80.0,46.3,18.18,75.65
206,Andre Clóvis,Academico Viseu,3710,27,0,32.64,186,46.09,34.13,1.82,23,0.62,6,0.15,141,42.55,19.149,23.33,30.77,18.75,1.77,47.95,28.3,68.33,51.3,87.77,69.5,72.6,56.52,42.86,53.23,45.45,37.5,76.36
207,Jajá,Tokyo,1877,3,1,44.51,175,59.63,26.09,2.88,3,0.24,0,0.0,51,49.02,5.882,36.36,35.71,37.5,5.47,59.65,44.56,69.42,62.89,85.94,72.04,78.66,40.0,25.0,70.0,48.39,18.18,68.63
208,Everton Galdino,Grêmio,1711,7,1,39.96,178,53.13,25.68,3.0,7,0.31,0,0.0,49,32.65,14.286,37.5,16.67,50.0,5.58,54.72,42.24,80.09,67.74,90.43,83.67,82.78,60.87,54.55,69.09,59.26,45.45,72.41
209,Clayton,Casa Pia AC,1944,8,0,31.04,184,39.02,32.75,1.44,8,0.36,3,0.14,58,39.66,13.793,12.5,25.0,0.0,3.19,50.72,29.54,77.6,50.0,91.21,87.32,81.6,25.0,66.67,65.12,50.0,40.0,57.69
210,Zeca,Pohang Steelers,2653,11,8,36.01,190,45.45,45.75,2.27,9,0.36,4,0.14,70,38.57,15.714,27.27,15.38,44.44,2.71,48.75,30.27,71.48,65.08,85.35,71.13,73.81,57.14,60.0,69.57,60.34,66.67,77.78
211,Bruno Mendes,Guarani,1427,7,0,38.74,184,60.0,41.49,1.39,6,0.32,1,0.06,27,59.26,25.926,0.0,0.0,0.0,1.7,48.15,31.07,75.6,61.76,92.06,72.55,78.06,83.33,66.67,71.43,50.0,75.0,55.56
212,Leandro Ribeiro,Daejeon Citizen,1474,5,7,40.14,178,72.97,28.3,1.53,4,0.2,1,0.06,21,52.38,23.81,31.43,33.33,30.0,3.79,58.06,37.66,71.88,51.61,84.75,73.91,75.91,65.22,77.78,38.89,53.33,50.0,65.91
213,Ricardo Lopes,Suwon,623,0,0,29.89,184,50.0,24.44,2.02,0,0.08,0,0.0,12,50.0,0.0,33.33,33.33,33.33,5.92,41.46,29.59,78.95,64.81,95.65,76.27,81.87,60.0,66.67,66.67,50.0,60.0,72.22
214,Tiago,Khorfakkan,1952,9,1,28.23,185,52.17,34.25,1.94,7,0.36,3,0.14,40,52.5,22.5,30.0,60.0,0.0,1.8,46.15,22.28,76.04,55.67,89.15,75.0,78.81,25.0,50.0,60.98,53.33,50.0,67.65
215,Bruno Lamas,Busan I'Park,2354,10,7,39.74,176,58.43,30.51,1.53,9,0.24,0,0.0,84,40.48,11.905,47.62,55.56,41.67,2.41,55.56,39.05,78.72,63.92,91.79,84.18,82.27,54.0,47.62,62.42,58.9,42.86,80.25
216,Richard,Chapecoense,1332,2,0,47.01,171,58.33,45.45,0.88,2,0.24,1,0.07,44,36.36,4.545,31.43,21.05,43.75,4.86,54.17,48.04,72.01,56.06,90.67,71.88,78.09,62.5,0.0,51.85,48.39,0.0,66.67
217,Muralha,Al Arabi,3061,11,5,43.62,176,48.85,26.19,1.72,10,0.22,0,0.0,60,43.33,16.667,26.42,8.33,42.86,1.82,68.33,43.06,78.46,68.39,92.61,82.33,84.62,57.21,32.14,70.27,40.74,32.2,81.42
218,Felipe,Chengdu Rongcheng,2360,12,4,40.51,193,55.68,45.49,2.14,12,0.27,6,0.23,63,39.68,19.048,33.33,28.57,50.0,3.39,51.69,36.15,78.02,63.53,87.63,83.87,78.47,86.96,71.43,72.5,66.67,57.14,71.79
219,Wendel,Porto II,2158,6,4,37.66,180,56.96,35.96,1.92,5,0.3,0,0.0,38,44.74,15.789,21.88,5.88,40.0,3.17,51.32,33.48,74.87,63.45,90.58,73.33,79.17,50.0,33.33,61.9,54.17,38.1,88.24
220,Hernandes,Incheon United,2169,7,3,41.9,183,55.41,26.23,1.81,7,0.21,0,0.0,59,22.03,11.864,21.62,7.14,30.43,3.65,68.97,45.27,77.36,63.33,92.57,76.22,81.78,40.0,48.28,61.54,45.9,39.02,77.42
221,Neto,Chapecoense,882,3,0,49.02,178,53.62,55.17,3.67,3,0.31,0,0.0,25,60.0,12.0,55.56,60.0,50.0,1.53,46.67,43.75,80.18,63.64,94.44,87.5,83.57,57.58,0.0,61.7,43.75,7.69,66.04
222,Pablo,Famalicão,1294,2,0,38.08,184,56.84,35.23,2.5,2,0.16,1,0.07,19,31.58,10.526,20.0,0.0,20.0,3.34,62.5,32.83,84.49,79.07,88.31,85.48,86.34,71.43,50.0,77.27,60.0,66.67,87.5
223,Alvaro de Oliveira,Al Bataeh,1995,6,1,38.22,181,54.69,40.58,1.17,6,0.38,1,0.05,66,33.33,9.091,20.83,0.0,21.74,4.15,52.17,34.51,69.21,45.61,90.12,64.36,74.46,46.15,14.29,56.41,55.17,33.33,71.88
224,Heberty,Johor Darul Ta'zim,2913,16,4,45.59,172,56.0,40.74,1.02,12,0.37,0,0.0,93,39.78,17.204,45.45,33.33,58.82,2.66,54.65,44.74,85.08,72.61,92.53,91.35,88.01,65.31,41.3,74.75,61.22,36.84,87.27
225,Alan,Al Najma,642,0,1,38.32,175,50.0,41.67,2.1,0,0.08,0,0.0,12,25.0,0.0,28.57,0.0,33.33,3.36,29.17,32.14,72.28,52.73,91.89,76.92,76.54,43.75,25.0,65.22,30.77,0.0,86.67
226,Douglas Baggio,Grêmio Novorizontino,2823,7,5,43.43,172,58.33,32.62,1.56,7,0.31,1,0.03,66,34.85,10.606,26.58,30.77,25.76,4.94,57.42,46.34,74.37,74.7,90.76,71.36,81.49,31.25,42.11,72.31,44.74,31.82,81.82
227,Gabriel Xavier,Chapecoense,729,3,1,33.09,170,46.15,24.0,1.36,3,0.15,1,0.12,10,50.0,30.0,27.27,40.0,20.0,1.73,42.86,31.11,80.41,72.73,95.0,77.55,87.6,58.82,66.67,68.75,52.63,80.0,72.0
228,Rafinha,Blooming,2032,8,5,43.51,174,56.82,29.58,2.48,5,0.32,0,0.0,49,44.9,16.327,45.16,42.86,50.0,2.75,62.9,44.64,72.39,52.27,91.25,80.0,79.03,46.43,50.0,61.54,51.52,43.9,75.93
229,Marcinho,Sampaio Corrêa,2466,1,3,42.76,174,43.7,36.36,1.47,1,0.13,0,0.0,66,22.73,1.515,26.92,23.81,31.03,2.05,53.57,46.88,81.69,72.62,95.79,82.54,87.11,58.65,70.0,77.37,50.0,35.29,85.71
230,Maurício Garcez,Coritiba,2208,5,0,43.76,183,67.31,39.81,2.7,5,0.21,0,0.0,34,38.24,14.706,30.0,42.86,27.27,2.99,52.78,36.93,77.35,66.67,96.38,72.38,82.62,45.45,40.0,58.97,48.65,50.0,72.88
231,Juninho,Qarabag,2399,7,0,31.22,179,45.63,31.3,1.61,7,0.32,3,0.11,52,51.92,13.462,20.0,16.67,25.0,2.59,39.13,27.7,81.48,58.06,89.47,79.82,83.55,75.0,100.0,88.89,46.15,100.0,78.57
232,Rodrigo Varanda,América Mineiro,1446,2,1,38.75,180,57.14,28.3,2.07,2,0.2,0,0.0,34,35.29,5.882,40.0,40.0,40.0,3.94,55.93,36.59,82.21,73.56,89.77,81.74,85.47,37.5,0.0,70.73,66.67,0.0,66.67
233,Rivaldinho,Farul Constanţa,1759,3,3,35.53,187,51.72,35.65,1.43,3,0.31,1,0.05,43,39.53,6.977,11.11,0.0,14.29,0.87,23.53,31.21,71.7,62.86,86.14,61.29,73.2,66.67,42.86,66.67,41.67,20.0,63.33
234,Ai Kesen,Chengdu Rongcheng,1975,8,0,44.05,180,62.96,41.53,2.37,5,0.45,2,0.09,60,38.33,13.333,21.74,27.78,0.0,3.1,57.35,40.41,81.14,75.35,89.43,83.05,84.1,72.41,44.44,84.29,51.22,33.33,71.43
235,Bruno Oliveira,Seoul E-Land,1902,6,1,40.98,175,58.82,40.0,1.89,5,0.15,0,0.0,28,50.0,21.429,30.77,0.0,40.0,3.64,38.96,35.79,81.38,65.18,92.31,84.95,86.02,51.16,31.58,70.4,40.0,25.93,73.73
236,Matheus Cadorini,Ituano,1130,6,1,30.04,191,38.1,35.45,0.96,5,0.35,3,0.24,31,48.39,19.355,0.0,0.0,0.0,1.27,25.0,24.0,66.17,48.65,86.21,61.22,68.95,28.57,16.67,38.1,38.46,20.0,41.67
237,Marlyson,Figueirense,539,2,0,32.3,185,63.16,21.88,2.5,2,0.21,0,0.0,7,42.86,28.571,66.67,0.0,66.67,1.0,33.33,32.81,76.81,50.0,100.0,82.35,76.56,100.0,0.0,66.67,50.0,0.0,71.43
238,Yago Cariello,Gangwon,1617,2,2,37.38,187,55.56,40.49,2.23,2,0.51,0,0.0,44,27.27,4.545,0.0,0.0,0.0,2.0,38.89,32.24,72.0,43.86,85.71,80.3,72.76,50.0,0.0,50.0,30.0,0.0,44.44
239,Felipe Vizeu,Criciúma,2558,10,2,31.53,184,43.84,29.05,1.37,10,0.23,5,0.18,48,47.92,20.833,33.33,50.0,20.0,2.43,52.17,31.15,82.02,74.29,92.86,81.98,83.56,25.0,50.0,63.46,73.68,0.0,77.14
240,Alan Kardec,Atlético Mineiro,435,1,0,38.27,190,33.33,40.0,1.06,1,0.2,0,0.0,6,33.33,16.667,0.0,0.0,0.0,0.42,50.0,25.0,81.63,50.0,100.0,72.73,85.11,0.0,0.0,57.14,66.67,0.0,100.0
241,Arthur Sales,Lommel SK,1277,6,1,45.45,184,59.04,38.6,3.03,6,0.31,0,0.0,28,46.43,21.429,26.92,12.5,33.33,1.76,60.0,42.48,76.47,60.47,89.52,79.58,81.3,58.06,45.45,68.29,48.57,50.0,76.6
242,Bergson,Johor Darul Ta'zim,2878,39,5,38.54,181,48.65,42.42,1.44,31,0.87,8,0.25,192,40.63,20.313,12.5,7.14,22.22,4.38,49.29,39.07,79.97,65.96,91.89,76.65,82.68,57.14,15.79,65.52,51.72,19.05,86.27
243,Alisson Safira,Vitória Guimarães,1197,6,1,42.34,185,43.64,52.34,1.65,5,0.26,3,0.23,25,36.0,20.0,0.0,0.0,0.0,2.4,50.0,37.4,75.71,54.05,87.67,71.43,78.33,0.0,0.0,30.0,30.0,0.0,50.0
244,Fabrício Daniel,Sport Recife,1642,2,3,37.74,182,52.75,17.31,2.36,2,0.19,0,0.0,38,34.21,5.263,25.0,40.0,21.74,5.04,55.43,37.39,74.51,66.19,92.65,67.55,81.52,51.85,28.0,70.31,46.15,34.62,77.01
245,Renato Júnior,Viborg,1472,2,1,32.2,190,46.58,30.16,2.32,1,0.2,0,0.0,16,43.75,12.5,28.57,50.0,20.0,4.34,40.85,28.57,74.17,72.13,89.29,61.29,77.13,75.0,33.33,73.68,61.11,50.0,60.0
246,João Paulo,Kairat,2926,20,5,46.45,170,45.33,26.09,0.95,15,0.48,1,0.03,174,38.51,11.494,33.72,29.23,47.62,4.31,55.71,51.18,57.28,47.5,73.58,61.0,66.76,35.14,16.67,48.98,42.17,27.59,80.56
247,Pernambuco,Diósgyőr,1222,6,2,46.2,186,63.08,30.91,3.09,5,0.25,1,0.07,30,60.0,20.0,16.67,0.0,20.0,7.0,51.58,43.48,78.08,69.41,91.14,78.45,82.77,50.0,50.0,70.0,61.11,28.57,76.09
248,Hyuri,CRB,766,1,1,45.41,186,48.72,46.03,3.02,1,0.12,0,0.0,6,16.67,16.667,30.43,25.0,31.58,3.28,84.0,48.44,70.16,61.54,93.55,62.79,80.0,25.0,50.0,70.0,61.54,50.0,75.0
249,Caio Cruz,Radomlje,901,1,0,43.79,0,75.86,35.42,2.22,1,0.21,0,0.0,18,27.78,5.556,0.0,0.0,0.0,1.33,33.33,39.58,65.38,45.16,90.0,52.17,69.79,20.0,20.0,33.33,14.29,16.67,58.33
250,Matheus Jesus,V-Varen Nagasaki,3363,7,4,46.97,187,53.33,49.61,2.54,6,0.23,3,0.08,80,38.75,8.75,44.44,47.37,40.0,2.38,53.93,41.58,84.28,73.43,91.9,90.17,87.54,65.35,54.84,76.22,63.41,42.86,82.35
251,Saldanha,Partizan,4342,15,5,34.95,185,46.09,30.5,1.45,14,0.4,2,0.04,117,37.61,11.966,37.14,42.11,33.33,5.77,53.38,36.47,73.92,52.56,89.36,77.45,75.84,68.42,34.62,65.88,42.59,34.78,83.64
252,Derik Lacerda,Cuiabá,2052,1,1,43.79,191,49.46,44.8,1.71,1,0.14,1,0.04,33,27.27,3.03,14.29,14.29,14.29,3.68,59.52,46.3,77.57,68.63,82.54,78.75,81.97,33.33,75.0,71.43,26.67,40.0,57.14
253,Jean Patric,Vissel Kobe,1345,6,0,41.99,175,63.64,34.91,2.94,5,0.41,0,0.0,41,34.15,14.634,31.03,30.77,33.33,4.28,57.81,41.48,73.86,65.0,91.67,66.36,84.09,44.44,0.0,72.22,44.9,0.0,69.84
254,Tiago Orobó,Daejeon Citizen,2702,16,3,38.19,190,59.79,41.8,1.87,14,0.41,5,0.17,68,39.71,23.529,33.33,66.67,0.0,1.6,54.17,29.31,66.93,56.64,80.29,68.42,67.89,28.57,18.18,52.0,43.75,12.5,66.67
255,Brenner,Sporting Cristal,3013,15,4,35.41,182,51.65,27.71,1.11,12,0.36,2,0.06,52,51.92,28.846,28.57,0.0,50.0,1.14,42.11,35.96,79.58,59.09,92.41,83.95,80.97,70.37,21.43,66.18,50.0,25.0,73.91
256,Vander,Bangkok United,2400,5,4,43.04,176,55.07,30.3,1.24,4,0.21,1,0.04,45,31.11,8.889,34.09,33.71,36.59,10.65,48.24,44.74,70.67,67.5,90.76,69.97,82.1,65.0,47.83,68.29,55.26,44.44,88.72
257,Giovanni Augusto,Vitória,1891,2,2,49.86,175,66.67,36.67,1.81,1,0.11,0,0.0,28,32.14,7.143,34.33,34.38,35.29,2.81,59.32,48.3,81.69,74.64,92.66,81.19,88.4,52.0,28.57,79.04,47.42,34.48,82.28
258,Mateusão,Shabab Al Ahli Dubai,734,0,1,39.13,184,41.67,52.63,1.96,0,0.09,0,0.0,7,14.29,0.0,0.0,0.0,0.0,1.1,55.56,32.0,72.5,50.0,93.55,46.67,77.33,0.0,0.0,0.0,100.0,0.0,16.67
259,Henrique Almeida,Vila Nova,1348,4,0,31.76,177,53.73,23.66,1.8,4,0.42,1,0.07,43,37.21,9.302,16.67,0.0,20.0,1.0,60.0,30.48,75.74,66.67,90.91,75.36,80.45,66.67,33.33,68.97,42.86,0.0,61.9
260,Marco Túlio,Central Coast Mariners,2430,11,5,40.53,177,56.69,19.05,2.22,10,0.42,1,0.04,67,44.78,16.418,41.86,34.78,50.0,3.04,60.98,37.04,78.69,74.3,87.8,77.91,83.27,48.28,50.0,73.03,67.12,46.15,83.74
261,Danilo Alves,BG Pathum United FC,1790,8,2,37.69,187,54.46,35.82,2.77,7,0.46,1,0.05,60,38.33,13.333,30.43,20.0,38.46,4.73,46.81,33.22,78.82,60.2,91.34,78.74,82.29,58.33,33.33,66.04,44.12,36.36,73.47
262,Hamilton,Port FC,3293,16,5,43.37,191,57.46,53.82,1.89,14,0.34,6,0.16,68,50.0,22.059,0.0,0.0,0.0,1.12,41.46,33.09,83.08,67.81,95.08,82.04,83.73,78.95,58.33,75.0,69.23,50.0,76.56
263,Alan,Moreirense,2558,9,8,42.91,165,52.08,10.91,2.13,9,0.16,0,0.0,43,41.86,20.93,34.78,26.67,50.0,2.6,56.94,45.41,86.48,75.27,97.89,89.83,89.05,62.5,31.25,79.35,59.62,35.0,80.71
264,Marcelo Ryan,Yokohama,1495,4,1,30.49,188,52.63,28.57,1.69,4,0.43,0,0.0,48,33.33,8.333,16.67,0.0,33.33,2.35,38.46,26.97,72.03,54.72,87.72,71.43,73.68,50.0,0.0,60.87,75.0,0.0,51.61
265,Douglas Coutinho,Nam Dinh,1525,3,0,36.8,183,61.54,33.33,1.53,3,0.22,0,0.0,41,39.02,7.317,44.44,42.86,45.45,3.66,56.45,38.89,66.92,52.33,82.93,76.25,70.48,44.44,50.0,55.81,56.52,40.0,72.34
266,William Lira,Chonburi,1919,13,2,35.32,186,48.57,47.37,1.22,10,0.49,6,0.28,68,30.88,19.118,11.76,25.0,0.0,2.95,52.38,28.86,77.94,60.0,94.07,72.63,82.51,38.89,100.0,72.73,58.33,60.0,62.5
267,Felippe Cardoso,Casa Pia AC,884,6,0,30.53,187,48.65,26.0,2.34,5,0.39,1,0.1,24,41.67,25.0,33.33,100.0,20.0,4.89,54.17,29.49,79.56,74.19,96.67,76.47,82.81,25.0,60.0,77.78,40.0,33.33,62.5
268,Paulo Victor,Chaves,3872,10,1,40.97,180,56.06,33.59,3.74,10,0.22,2,0.05,57,45.61,17.544,23.21,19.23,26.67,3.21,57.97,42.01,70.57,51.85,91.87,72.11,75.04,50.0,0.0,55.38,40.43,25.0,61.36
269,Souza,Ponte Preta,4041,11,8,49.25,183,61.84,43.61,3.25,6,0.18,0,0.0,106,31.13,9.434,25.68,25.64,26.47,2.13,54.26,44.8,80.15,68.28,95.68,84.4,85.88,55.56,35.29,66.03,33.64,28.13,78.55
270,André Luis,Moreirense,2729,16,0,37.5,184,52.94,43.66,1.43,10,0.47,5,0.17,79,27.85,20.253,0.0,0.0,0.0,1.27,31.58,29.73,75.8,63.33,87.77,80.56,76.8,71.43,53.85,62.26,35.71,60.0,61.7
271,Daniel dos Anjos,Tondela,2465,5,3,37.82,183,52.0,42.79,1.72,4,0.29,1,0.04,49,40.82,10.204,25.0,0.0,27.27,2.45,40.3,31.9,72.28,67.39,82.79,68.66,73.72,66.67,42.86,71.11,45.45,50.0,60.71
272,Michel,Sport Recife,2474,11,4,43.57,187,48.13,53.25,3.09,10,0.3,2,0.07,55,52.73,20.0,30.0,28.0,25.0,4.55,51.2,38.34,81.38,70.62,93.63,80.53,86.09,45.65,55.56,77.38,62.5,40.0,84.48
273,Matheuzinho,América RN,1596,2,2,45.79,171,59.32,12.5,1.19,1,0.13,0,0.0,34,44.12,2.941,37.5,50.0,11.11,1.42,42.11,41.11,73.67,71.29,80.65,74.0,80.44,51.52,20.0,71.15,42.31,25.0,78.57
274,Waguininho,Avaí,1807,7,1,35.27,177,47.31,27.0,2.49,6,0.19,2,0.1,37,43.24,18.919,48.39,53.85,44.44,2.69,37.04,34.67,81.03,70.97,98.17,81.38,84.33,60.0,40.0,77.78,53.33,33.33,75.41
275,V. Matos,Partizani Tirana,1689,13,2,34.63,180,43.68,22.45,1.12,10,0.53,2,0.11,49,48.98,26.531,30.77,15.38,46.15,2.88,40.74,37.06,73.76,62.94,91.76,72.57,78.91,44.74,44.44,63.93,54.9,37.04,85.94
276,Vinícius Lopes,Santa Clara,438,0,0,35.0,180,42.31,39.47,2.05,0,0.12,0,0.0,10,10.0,0.0,0.0,0.0,0.0,4.93,37.5,26.98,85.14,73.33,95.0,89.47,87.5,0.0,0.0,60.0,100.0,0.0,100.0
277,Renan,Seoul E-Land,511,6,1,29.8,0,44.0,21.05,1.94,6,0.32,1,0.18,13,84.62,46.154,100.0,100.0,0.0,1.94,36.36,27.12,63.89,42.86,70.59,78.57,65.22,0.0,33.33,22.22,40.0,33.33,60.0
278,Popó,Suwon Bluewings,1206,7,0,26.12,190,39.02,31.37,2.24,7,0.56,2,0.15,30,53.33,23.333,28.57,20.0,0.0,2.91,56.41,22.94,83.54,65.0,94.12,82.35,89.19,50.0,0.0,100.0,57.14,0.0,81.82
279,Ytalo,Sampaio Corrêa,2440,9,0,38.07,181,54.93,30.57,1.59,9,0.34,1,0.04,40,57.5,22.5,33.33,0.0,50.0,0.33,66.67,45.45,81.8,55.0,93.06,85.44,83.99,38.89,50.0,74.42,61.54,50.0,64.29
280,Felipe Augusto,Operário PR,3238,12,3,35.5,182,51.72,39.58,1.74,12,0.27,0,0.0,103,41.75,11.65,24.69,24.56,25.0,4.09,46.04,31.44,69.74,62.9,88.08,67.37,78.75,39.22,57.14,62.86,45.71,36.36,77.66
281,Willen,Bangkok United,2563,19,3,37.23,184,53.19,38.24,1.33,14,0.67,6,0.21,87,45.98,21.839,30.0,28.57,33.33,1.86,50.94,35.44,83.25,67.54,92.57,88.44,85.15,42.86,54.55,81.82,48.28,33.33,72.55
282,Luiz Adriano,Internacional,3066,10,4,32.72,184,47.06,33.76,2.14,10,0.3,3,0.09,57,43.86,17.544,33.33,100.0,0.0,0.77,61.54,25.21,82.88,64.29,93.55,87.61,84.0,45.45,37.5,68.89,65.0,23.08,64.86
283,Willian Bigode,Athletico Paranaense,523,2,0,50.62,171,69.57,37.5,3.27,2,0.12,0,0.0,9,44.44,22.222,20.0,50.0,0.0,2.24,53.85,48.65,83.56,69.23,89.66,90.0,85.19,100.0,0.0,81.82,71.43,0.0,66.67
284,Claudinho,Pouso Alegre,722,0,0,36.26,167,66.67,10.0,1.15,0,0.18,0,0.0,23,30.43,0.0,100.0,100.0,100.0,2.56,35.0,25.0,82.76,69.41,94.74,91.49,85.54,41.18,33.33,75.0,54.55,14.29,76.09
285,Bruno Marques,Marítimo,511,3,0,40.46,193,58.97,40.43,1.64,3,0.69,1,0.18,21,38.1,14.286,0.0,0.0,0.0,2.19,41.67,29.51,76.24,33.33,93.1,78.95,78.95,50.0,50.0,50.0,50.0,0.0,50.0
286,Vinícius Tanque,Melilla,1147,0,0,32.45,183,46.51,32.12,1.88,0,0.11,0,0.0,15,53.33,0.0,28.57,66.67,0.0,1.57,55.0,27.97,71.36,58.14,86.15,73.21,76.24,18.18,50.0,60.0,70.0,60.0,66.67
287,Saulo Mineiro,Ceará,827,1,0,30.57,184,44.12,19.57,1.2,1,0.21,0,0.0,23,43.48,4.348,22.22,0.0,33.33,2.83,57.69,31.4,73.27,70.59,82.35,61.11,77.27,100.0,0.0,80.0,45.45,0.0,100.0
288,Ryder Matos,Perugia,925,1,1,41.39,180,59.52,14.29,1.36,1,0.09,0,0.0,11,36.36,9.091,13.79,13.33,14.29,5.16,67.92,46.95,79.7,74.58,95.0,75.0,88.41,50.0,25.0,71.43,27.78,25.0,82.61
289,Welthon,Torreense,1495,12,0,41.6,180,44.0,37.78,1.15,8,0.64,4,0.26,42,42.86,26.19,28.57,20.0,33.33,3.97,61.29,43.65,69.31,54.17,79.59,75.93,74.07,46.67,50.0,68.0,44.44,60.0,82.14
290,Raúl Asencio,Potenza,782,0,2,35.88,185,56.67,40.83,1.5,0,0.11,0,0.0,7,57.14,0.0,33.33,0.0,33.33,0.81,71.43,25.0,69.03,57.69,76.0,72.73,70.75,50.0,75.0,75.0,57.14,66.67,69.23
291,André Felipe,Ponte Preta,941,2,0,36.75,184,56.1,36.36,2.01,1,0.25,0,0.0,13,53.85,15.385,33.33,100.0,0.0,2.2,43.48,31.37,80.95,66.67,88.64,83.93,83.33,33.33,33.33,63.16,66.67,50.0,63.64
292,Dennis Murillo,Lamphun Warrior,917,5,1,42.39,184,42.86,53.45,1.47,3,0.56,0,0.0,28,53.57,17.857,33.33,25.0,100.0,1.08,45.45,39.44,76.92,74.0,97.22,74.07,80.65,72.73,100.0,64.29,64.29,100.0,76.19
293,Nathan Fogaça,San Antonio,955,3,5,31.99,178,48.98,35.14,1.79,3,0.21,0,0.0,23,39.13,13.043,33.33,0.0,36.36,3.86,39.02,26.45,77.27,67.44,92.98,77.36,80.9,62.5,100.0,65.0,66.67,66.67,86.96
294,Jefferson,Bali United,2670,19,2,36.09,185,47.44,38.73,1.83,16,0.58,5,0.18,73,47.95,24.658,36.84,33.33,44.44,3.33,44.09,32.45,72.65,57.33,88.14,69.16,75.67,52.94,22.22,60.61,50.0,25.0,72.09
295,Rômulo Souza,CRB,1389,2,2,39.88,175,60.29,39.29,2.2,2,0.24,0,0.0,26,34.62,7.692,39.13,44.44,38.46,3.43,43.4,34.64,80.06,67.5,95.56,81.25,84.84,52.63,40.0,74.29,53.13,37.5,84.0
296,Lucas Ribamar,Náutico,1784,6,1,31.92,184,40.48,29.28,0.96,6,0.29,1,0.05,41,36.59,14.634,28.57,33.33,0.0,1.36,33.33,33.05,71.35,45.65,88.89,74.36,73.56,50.0,20.0,64.71,11.11,25.0,61.54
297,Felipe Ferreira,Chapecoense,1534,2,1,40.59,186,52.63,24.14,1.58,2,0.14,1,0.06,39,25.64,5.128,40.0,44.44,38.46,2.82,58.33,42.45,79.85,68.54,95.52,83.14,85.25,65.71,40.0,76.19,51.06,37.5,75.0
298,Matheus Aias,Moreirense,1510,2,0,37.08,176,66.0,31.19,1.58,2,0.24,0,0.0,37,62.16,5.405,9.09,0.0,33.33,3.47,59.65,38.0,66.94,55.81,75.56,67.42,71.77,50.0,20.0,48.0,44.44,14.29,60.87
299,L. da Silva,Melgar,659,1,0,37.61,179,60.0,52.17,2.63,1,0.21,0,0.0,13,23.08,7.692,33.33,40.0,0.0,5.53,40.0,28.0,78.09,64.62,85.42,81.58,79.57,73.33,0.0,76.47,45.45,40.0,72.5
