,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
32,Danilo,Rangers,2016,10,4,33.82,174,57.89,28.07,2.37,10,0.66,3,0.13,85,42.35,11.765,50.0,50.0,0.0,2.63,38.98,29.81,79.4,72.53,85.94,78.51,80.49,46.15,66.67,75.0,58.33,60.0,71.43
33,Matheus França,Crystal Palace,1855,6,1,44.58,182,58.02,47.37,2.28,6,0.34,2,0.1,52,30.77,11.538,35.14,20.0,42.31,4.85,55.0,38.7,76.77,63.64,91.47,80.51,81.32,56.67,57.14,81.03,55.1,50.0,79.71
34,Lázaro,Almería,858,6,0,36.52,181,55.17,24.0,2.2,6,0.42,0,0.0,25,48.0,24.0,25.0,14.29,40.0,3.67,48.57,35.42,77.5,60.78,95.83,76.27,82.76,50.0,66.67,75.0,42.86,33.33,83.33
35,Rodrigo Muniz,Fulham,664,0,0,38.32,185,68.75,39.74,1.22,0,0.29,0,0.0,12,33.33,0.0,0.0,0.0,0.0,1.76,38.46,28.36,62.96,46.67,81.25,60.0,66.0,33.33,0.0,40.0,28.57,0.0,57.14
36,Carlos Vinícius,Fulham,1541,6,3,27.51,190,60.0,22.43,1.23,6,0.29,1,0.06,23,56.52,26.087,0.0,0.0,0.0,1.46,32.0,23.49,72.59,62.5,86.15,62.86,77.05,50.0,28.57,52.63,35.29,28.57,68.18
37,M. Brunori,Palermo,3223,14,3,34.37,180,45.83,32.28,1.48,11,0.49,2,0.06,98,38.78,14.286,29.55,31.03,23.08,3.99,46.15,38.34,66.82,54.17,90.53,64.33,74.25,29.03,41.67,55.88,50.0,30.77,67.39
38,R. Ricardo,Al Ittihad,3378,19,8,40.13,174,50.93,42.42,2.37,16,0.44,3,0.08,85,56.47,22.353,18.92,18.18,19.23,3.28,48.78,39.41,87.54,82.61,94.6,88.05,90.21,56.76,34.78,82.67,60.32,32.0,84.56
39,Marcão,Wuhan Three Towns,1804,15,0,42.79,196,57.38,53.8,1.85,13,0.69,6,0.3,98,34.69,14.286,0.0,0.0,0.0,5.79,48.28,37.32,65.13,48.78,92.0,63.27,66.85,66.67,22.22,53.85,9.09,20.0,90.0
40,Rafael Navarro,Colorado Rapids,1164,4,1,36.13,183,52.5,29.89,2.09,4,0.35,1,0.08,30,46.67,13.333,12.5,0.0,14.29,3.25,42.86,36.36,72.64,63.46,87.5,68.33,76.76,44.44,50.0,69.57,69.23,66.67,72.0
41,Tiquinho Soares,Botafogo,4571,30,6,36.82,187,51.75,37.46,1.37,23,0.43,7,0.14,126,42.06,23.016,37.14,37.04,37.5,2.07,50.96,36.93,74.83,56.63,89.58,76.47,76.89,66.67,22.73,61.79,41.38,18.52,72.0
42,Alerrandro,Red Bull Bragantino,1601,9,3,28.77,180,48.72,24.42,1.57,9,0.42,2,0.11,46,41.3,19.565,11.11,0.0,16.67,1.52,59.26,30.14,77.57,65.22,91.55,72.73,80.97,42.86,55.56,52.38,62.5,45.45,77.27
43,João Klauss,St. Louis City ,1213,8,1,38.97,190,50.91,38.14,2.3,8,0.33,2,0.15,31,51.61,25.806,25.0,0.0,50.0,1.63,59.09,36.04,69.86,55.88,82.14,72.86,72.96,40.0,33.33,59.38,54.17,33.33,70.0
44,John Kennedy,Fluminense,2478,13,2,34.35,181,50.57,32.56,1.02,10,0.4,2,0.08,59,42.37,18.644,27.78,11.11,37.5,6.81,47.4,30.83,77.13,69.74,95.06,73.56,80.0,81.82,23.08,75.0,56.41,42.86,76.92
45,Marcos Paulo,São Paulo,1750,5,4,36.02,185,52.5,30.0,2.77,5,0.13,0,0.0,23,47.83,21.739,20.0,15.38,50.0,5.1,44.68,32.53,78.78,61.95,94.62,81.44,82.01,56.67,31.25,70.59,53.85,23.81,81.33
46,Bissoli,Ceará,1281,1,0,35.77,177,45.76,34.12,1.19,0,0.18,0,0.0,19,21.05,5.263,12.5,0.0,20.0,0.84,33.33,32.05,75.9,67.39,94.29,71.01,78.13,68.42,50.0,68.18,28.57,33.33,84.21
47,Erison,São Paulo,1257,5,1,29.18,180,45.71,28.4,0.75,5,0.23,0,0.0,28,42.86,17.857,50.0,100.0,0.0,2.41,18.75,28.35,75.76,41.67,86.11,84.0,76.84,0.0,0.0,40.0,50.0,0.0,75.0
48,Diego Costa,Botafogo,1765,3,0,30.43,186,45.45,28.79,1.71,3,0.26,1,0.06,32,53.13,9.375,18.18,25.0,0.0,1.66,53.33,29.23,77.7,69.05,87.95,74.67,80.68,33.33,60.0,66.67,40.0,50.0,66.67
49,Gabriel Pirani,DC United,1700,3,1,41.67,170,52.08,26.67,1.91,3,0.21,0,0.0,24,54.17,12.5,24.32,21.05,23.53,6.83,46.51,41.09,82.02,76.12,88.44,82.11,87.0,40.0,11.11,76.74,48.15,18.18,70.18
50,Vitinho,Al Ettifaq,2034,4,2,40.64,180,50.0,38.89,2.43,4,0.17,0,0.0,45,31.11,8.889,43.48,50.0,0.0,5.09,49.57,38.0,77.76,72.19,92.68,79.08,82.0,68.0,41.67,70.73,56.25,21.74,79.55
51,Cryzan,Shandong Taishan,3282,32,5,43.65,190,61.65,44.38,2.11,29,0.6,3,0.08,155,46.45,20.645,36.25,39.39,36.36,7.38,55.76,40.42,78.0,70.04,89.66,76.68,81.99,57.89,39.13,79.28,48.65,33.33,83.45
52,Rafael Elias,Cruzeiro,1808,8,1,34.97,182,40.66,30.77,1.94,8,0.37,2,0.1,52,42.31,15.385,33.33,33.33,20.0,2.34,42.55,36.08,71.11,50.0,94.67,72.0,74.79,75.0,30.0,54.55,40.0,38.46,83.33
53,D. Bessa,Al Ittihad Kalba,2759,8,2,37.2,173,50.49,23.88,2.19,7,0.26,0,0.0,55,45.45,14.545,45.45,55.56,40.54,2.71,46.99,37.23,83.89,76.45,94.69,86.13,87.14,59.38,38.46,76.17,66.67,37.93,84.95
54,Alemão,Real Oviedo,2264,5,1,34.05,182,49.51,33.74,1.39,5,0.26,2,0.08,44,29.55,11.364,37.04,50.0,29.41,3.66,46.74,31.89,72.9,62.2,85.19,76.99,75.93,58.33,14.29,69.7,48.48,18.75,82.35
55,Bernard,Panathinaikos,3335,6,6,44.38,164,52.4,0.0,2.05,6,0.1,0,0.0,43,27.91,13.953,32.79,22.22,36.59,3.05,51.33,42.23,82.28,74.39,94.78,85.13,85.82,62.92,42.11,77.39,56.3,31.11,79.83
56,Luciano,São Paulo,4595,13,5,46.85,181,51.82,39.33,1.46,12,0.27,1,0.02,113,36.28,10.619,41.18,46.67,35.29,1.9,59.34,48.94,86.38,72.78,95.06,89.37,88.54,74.58,30.43,80.45,62.5,30.3,83.03
57,Bruno Henrique,Flamengo,1669,7,1,45.81,184,52.05,44.44,2.04,5,0.4,2,0.13,32,43.75,15.625,37.5,37.5,28.57,4.65,58.9,44.44,78.32,59.46,97.32,75.86,83.89,20.0,40.0,73.33,41.38,40.0,78.43
58,Kenedy,Real Valladolid,848,0,1,37.37,180,58.33,30.0,2.55,0,0.19,0,0.0,20,50.0,0.0,54.55,50.0,66.67,5.41,39.22,31.53,77.13,54.39,96.3,82.54,81.0,30.77,50.0,76.19,47.62,37.5,73.53
59,Marcos André,Real Valladolid,634,1,1,37.82,185,51.85,30.23,1.42,1,0.11,0,0.0,10,30.0,10.0,50.0,0.0,50.0,3.55,48.0,40.0,67.61,68.42,66.67,65.52,68.25,66.67,0.0,83.33,33.33,0.0,77.78
60,Reinier,Frosinone,432,1,1,36.89,185,65.0,42.86,1.88,1,0.16,1,0.21,6,33.33,16.667,25.0,25.0,0.0,1.46,28.57,32.08,82.61,69.7,93.55,85.29,87.2,44.44,0.0,60.0,80.0,0.0,63.64
61,A. Shinyashiki,Neftchi,813,1,0,36.73,175,51.02,17.02,2.13,0,0.15,0,0.0,12,16.67,0.0,52.0,52.94,50.0,4.37,64.1,37.84,75.54,66.04,87.76,82.19,80.2,53.85,30.0,76.92,53.85,27.27,68.75
62,Davidson,Wuhan Three Towns,3438,12,7,44.46,177,55.08,35.11,2.57,9,0.36,1,0.03,101,39.6,11.881,33.73,31.37,36.67,8.14,56.27,43.88,79.42,71.96,92.09,81.87,84.3,58.57,32.0,72.18,57.14,36.36,87.01
63,Wesley,Stoke City,2088,4,1,34.43,191,54.72,40.71,1.56,4,0.33,2,0.09,38,44.74,10.526,57.14,75.0,33.33,1.29,41.38,29.51,77.67,59.57,85.23,85.84,78.13,75.0,33.33,75.0,61.29,36.36,81.4
64,João Figueiredo,İstanbul Başakşehir,3351,10,2,34.09,180,45.8,32.12,1.93,10,0.25,0,0.0,72,30.56,13.889,37.5,26.67,55.56,2.74,47.06,34.56,78.68,65.38,89.72,81.86,80.21,76.47,37.5,68.66,55.88,40.0,74.63
65,Marquinhos,Ferencváros,2471,6,6,41.51,170,61.01,26.42,2.37,5,0.21,0,0.0,56,35.71,10.714,24.39,30.43,16.67,6.67,53.55,40.31,78.28,68.42,90.95,77.82,81.14,61.11,44.83,71.43,56.98,44.83,80.88
66,Hulk,Atlético Mineiro,4621,25,9,35.38,180,57.05,30.77,0.93,18,0.47,0,0.0,183,38.8,13.661,37.65,28.0,41.67,7.32,47.92,34.7,72.5,59.76,87.01,72.59,76.92,52.63,30.19,66.96,55.33,32.73,83.19
67,Nikão,Cruzeiro,999,3,1,48.17,174,70.21,51.85,0.99,2,0.15,0,0.0,15,26.67,20.0,50.0,80.0,42.11,2.79,38.71,40.19,83.73,76.32,91.86,84.77,88.27,57.14,45.45,70.27,62.5,44.44,74.07
68,Boschilia,Coritiba,924,1,1,48.06,173,53.66,27.27,3.12,1,0.15,0,0.0,27,37.04,3.704,10.0,33.33,0.0,2.53,57.69,45.78,81.95,75.0,93.22,83.19,87.3,41.67,0.0,74.19,23.53,22.22,72.22
69,Igor Jesus,Shabab Al Ahli Dubai,1241,6,0,40.43,180,54.35,43.64,2.11,4,0.3,0,0.0,25,52.0,24.0,0.0,0.0,0.0,2.19,67.86,34.45,81.03,69.57,93.62,97.1,81.57,84.62,75.0,81.58,87.5,76.92,89.66
