,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
16,João Victor,Benfica,"RCB, RB, LB",25,8000000,2027-06-30,19,1323,0,0.01,Brazil,Brazil,direito,187,80,sim
17,R. Tolói,Atalanta,RCB,33,8000000,2024-06-30,38,3300,1,2.59,Brazil,"Brazil, Italy",direito,185,75,sim
18,Lucas Verissimo,Corinthians,"LCB, RCB",28,8000000,2026-06-30,18,1281,1,1.06,Brazil,Brazil,direito,188,77,sim
19,Matheus Reis,Sporting CP,"LCB, LWB",28,8000000,2025-06-30,46,3241,1,0.71,Brazil,Brazil,esquerdo,184,80,sim
20,Marlon,Fluminense,"RCB, LCB",28,7500000,2026-06-30,38,2138,0,0.63,Brazil,Brazil,direito,182,80,sim
21,Samir,Tigres UANL,LCB,28,7000000,2026-06-30,42,3582,0,2.58,Brazil,Brazil,esquerdo,185,93,sim
22,Vitão,Internacional,"RCB, LCB",23,7000000,2024-06-30,51,4714,0,2.7,Brazil,Brazil,direito,185,78,sim
23,Nino,Fluminense,"RCB, LCB",26,7000000,2024-12-31,53,5062,5,3.07,Brazil,Brazil,direito,188,79,sim
24,Léo Ortiz,Red Bull Bragantino,"LCB, RCB",27,6000000,2026-12-31,14,1183,1,0.54,Brazil,Brazil,direito,185,82,sim
25,Nathan Silva,Pumas UNAM,RCB,26,6000000,2025-12-31,36,3388,2,2.53,Brazil,Brazil,direito,182,84,sim
26,Natan,Napoli,LCB,22,5500000,2025-12-31,40,3717,0,2.83,Brazil,Brazil,esquerdo,188,81,sim
27,Luan Peres,Fenerbahçe,"LB, LCB",29,5000000,2025-06-30,13,1053,1,0.6,Brazil,Brazil,esquerdo,190,79,sim
28,Kaiky,Almería,"RCB, LCB",19,5000000,2028-06-30,14,854,1,0.22,Brazil,Brazil,direito,181,76,sim
29,Dória,Santos Laguna,LCB,28,4500000,2025-06-30,31,2643,2,3.66,Brazil,"Brazil, Mexico",esquerdo,189,84,sim
30,Ruan Tressoldi,Sassuolo,"LCB, RCB",24,4500000,2026-06-30,30,2390,0,0.92,Brazil,Brazil,direito,187,78,sim
31,Vitor Hugo,Bahia,LCB,32,4500000,2026-12-31,38,3373,3,2.7,Brazil,Brazil,esquerdo,187,80,sim
32,Alex Sandro,Juventus,"LCB, LB",32,4500000,2024-06-30,28,2336,0,1.01,Brazil,Brazil,esquerdo,180,80,sim
33,Diego Costa,São Paulo,"RCB, LCB",24,4000000,2024-12-31,28,2328,0,1.13,Brazil,Brazil,direito,184,73,sim
34,Juan Jesus,Napoli,LCB,32,4000000,2025-06-30,19,1400,1,1.09,Brazil,Brazil,esquerdo,185,83,sim
35,Lyanco,Al Gharafa,"RCB, LCB",26,4000000,2025-06-30,28,2291,1,0.93,Brazil,"Brazil, Serbia",direito,187,83,sim
36,Léo Pereira,Flamengo,LCB,27,4000000,2027-12-31,46,3868,4,2.79,Brazil,Brazil,esquerdo,189,79,sim
37,Andrei Girotto,Al Taawon,"RCB, LCB, DMF",31,4000000,2024-06-30,43,4186,2,2.83,Brazil,"Brazil, Italy",direito,186,79,sim
38,Vitor Tormena,Krasnodar,RCB,27,4000000,2024-06-30,35,3109,0,0.58,Brazil,Brazil,direito,192,84,sim
